symbol,name,market_cap,volume_24h
WAN,Wanchain,48808860.78876072,738017.79294335
VLX,Velas,48053551.404020615,587371.80586266
DAG,Constellation,47872651.29517503,326978.16467657
SRM,Serum,46494413.17046938,156979428.50537765
KLV,Klever,46207826.54220272,1547965.67886969
ADS,Adshares,46063071.94413142,344330.02670478
TT,ThunderCore,45895697.340415835,46716853.37501699
IRIS,IRISnet,44422967.07872865,1549664.09219474
VRSC,VerusCoin,43472887.45121418,12544.62071357
LAT,PlatON,42691873.56630838,1356763.46346012
ONUS,ONUS,41777927.44591353,183964.30165024
LTO,LTO Network,41682032.33095432,1363435.72619592
CTXC,Cortex,41442309.97730173,1733069.99511941
FNCY,FNCY,38855866.675779745,117310.13725978
XVG,Verge,38406485.95656525,906058.98904063
NEXA,Nexa,36987118.78875681,620137.70220835
XWC,WhiteCoin,36584842.08606087,695636.27383774
BTM,Bytom,35945440.1757522,243117.96872193
PHB,Phoenix,35938037.98455985,5689268.0247274
BOBA,Boba Network,35827371.17286795,973308.44829921
GRS,Groestlcoin,32074404.99078181,1431389.80817663
AKT,Akash Network,31557835.708752587,1116973.7687477
AHT,AhaToken,31202513.76110158,1642324.68814227
SBD,Steem Dollars,30991475.154550374,1801078.52756276
BITCI,Bitcicoin,30591380.524157833,326901.87768748
BCD,Bitcoin Diamond,29783351.970788926,124569.89352465
BTS,BitShares,29672519.67626787,503855.58888797
MONA,MonaCoin,29449661.21038178,58103.89794105
FSN,Fusion,29217529.90260638,398945.62948333
REI,REI Network,26946025.653136514,1696480.42720191
FIRO,Firo,26755563.91950153,1530222.42500952
KAI,KardiaChain,25634985.26082331,1177734.84217618
AE,Æternity,25137914.97616459,414809.5276798
ELA,Elastos,25094278.829470415,289480.2688952
RXD,Radiant,25063218.087493088,297865.41030725
NULS,NULS,24796456.42622861,1651425.05200125
FIO,FIO Protocol,24453073.2334806,1830274.34169838
CET,CoinEx Token,24037074.56834176,1086521.50942398
FORT,Forta,23235312.098025147,353344.17046796
VITE,VITE,22789435.115671147,12791786.188326
EPIC,Epic Cash,22732928.156910203,2765.74435218
KRT,TerraKRW,22501479.640778203,0.0
AIOZ,AIOZ Network,21772463.724181093,471695.70406072
XPR,Proton,20706227.134604644,1234107.48300099
PIVX,PIVX,20643094.262670446,319858.25272419
MARO,Maro,20510993.857623775,138616.74295511
NMC,Namecoin,20139746.742108345,5717.63603112
NIM,Nimiq,19239849.853133146,233021.1890006
AMB,AirDAO,19092121.354040932,1500540.13954146
NOM,Onomy Protocol,18722435.756492224,676354.23424321
HNS,Handshake,18660335.12191113,47574.65411605
DOCK,Dock,18138393.88349885,1927012.70304442
HTR,Hathor,17397950.30044219,533572.68628016
ZNN,Zenon,17202156.067943867,34378.82027934
CENNZ,CENNZnet,16867017.626249827,181739.40538713
DIVI,Divi,16683894.79846161,446553.84056839
FRA,Findora,16057902.030090429,446813.74670996
TOKE,Tokemak,15402620.0541048,591716.36991621
ZANO,Zano,14584888.074188437,95982.75645687
HYDRA,Hydra,14429490.798432324,80138.89390373
MEV,MEVerse,14122646.255912527,287877.66905556
DMD,Diamond,14028891.576913921,97527.14298812
CPH,Cypherium,13395533.536243295,18159.96774543
KUNCI,Kunci Coin,12884593.753503762,995113.4168431
AMO,AMO Coin,11928670.809500908,794059.30385376
PPC,Peercoin,11480624.771968838,1565.32189353
XHV,Haven Protocol,11322285.82019191,347758.5814653
QRL,Quantum Resistant Ledger,10748336.208874075,37671.36393591
GBYTE,Obyte,10144262.759400742,2363.55626205
NRG,Energi,10047499.350438317,157368.4379999
XCP,Counterparty,9778916.383462725,6.3698211
SFD,SAFE DEAL,9535384.519272655,17738.06352032
ATOLO,RIZON,9328384.858636858,249474.01738891
BCN,Bytecoin,9237024.843571704,15003.19674646
XMC,Monero Classic,9160287.575992713,15084.08792442
NAV,Navcoin,9079491.777195068,807933.32476096
DIME,Dimecoin,8770584.449991016,0.18339969
GO,GoChain,8606298.477027373,82403.46503391
XNC,XeniosCoin,8391215.130524412,1001.0384152
NEWS,PUBLISH,8272800.109368272,398362.1873369
VAL,Validity,8113893.048561675,242595.64812633
BAN,Banano,7989760.969519913,22232.65468769
WICC,WaykiChain,7967389.168263539,215251.61319443
LBC,LBRY Credits,7882178.002027009,12768.45923791
NYE,NewYork Exchange,7737160.336813345,12431.86092753
PZM,PRIZM,7679443.96763204,67424.30714335
ZYN,Zynecoin,7569513.22707566,17979.23090992
VTC,Vertcoin,7479505.146942089,27681.10954659
ORAI,Oraichain,7364840.838655286,362340.39827204
OXEN,Oxen,7302569.430415531,401683.94440796
FCT,Factom,6870779.851685234,0.0
MWC,MimbleWimbleCoin,6714628.493308731,0.0
PART,Particl,6671769.528193938,1452.89012543
GRC,Gridcoin,6574303.568982281,62000.08728225
APL,Apollo Currency,6391445.628323112,491257.46142569
SERO,Super Zero Protocol,6377210.542845876,92298.89899984
FRTS,Fruits,6337457.371412962,339627.35723881
NXS,Nexus,6312071.252470177,2034.58824735
MAN,Matrix AI Network,6207760.924561029,343488.552855
BEAM,Beam,6072286.64704465,212594.58616264
GRIN,Grin,5896990.630584933,759337.79355518
CLO,Callisto Network,5569455.1033714,29993.57188683
REV,RChain,5480307.701351061,60711.38640084
KMA,Calamari Network,5426455.166890371,72377.0289787
XEP,Electra Protocol,5227477.7458194755,51246.60004912
SCP,ScPrime,5156244.4009308675,24954.0069795
TRIAS,Trias Token (new),5147679.846158012,993813.39803145
BTC2,Bitcoin 2,5111187.264533922,36.97703634
XPX,ProximaX,5066297.977879876,42644.63538864
PKT,PKT,4972022.254858522,63471.20209233
CRP,Crypton,4925548.592313941,487384.03673534
PCX,ChainX,4680640.785589082,94065.75754242
CHI,Xaya,4655207.972959681,11964.62800995
NEBL,Neblio,4630091.3672635155,541162.31640468
